Unnamed: 0,Category,Response_preprocessed
7429,SupportAutoResponse,Please type your reply above this line -Your request 133918 has been received and is being reviewed by oursupport staff.To add additional comments reply to this email.
2125,OutOfOffice,I am out of the office until June 18th with limited access to email but will be checking in periodically. If you need immediate assistance please contact Tim Wolf at tim.wolf@webtpa.com or Christina Arteaga at christina.arteaga@webtpa.com. Sincerely Jason Bielss
3071,ConnectLater,Are you frustrated at times with your email campaign solutionIm reaching out because Critical Impact is a digital messaging platform that was built specifically for marketers with larger audiences. Its a well-known issue that as email audience size increases email marketing becomes far more complex. Unfortunately not all email messaging platforms were created with this list growth in mind which can lead to a lot of pain and frustration.
1296,MovedOut,Effective July 20th  I am no longer with Mauser Packaging Solutions. Please refer to the contacts below if you need immediate assistance. Salesforce.com - Contact the team at SalesforceHelp@mauserpackaging.com
5698,OutOfOffice,I am currently out of the office. Otherwise I will attend to your email on my return. 
592,Deactivated,Thank you for your email however we do not require your services at this time. 
222,Retired,I retired from National Machinery.Please contact Kevin Mitsch at kmitsch@nationalmachinery.com
5839,MovedOut,Thank you for your e-mail. I am no longer working for West Berkshire Council. If your e-mail is of an urgent nature please contact the Chief Executives office on 01635 519619 and they will endeavour to assist you or email . Elliott1@westberks. gov. uk. 
8328,ReferredSomeone,Please note my email address has changed my new address is au@firefly. cloudPlease resend your email to au@firefly. cloudMany thanksAndrew
4722,SeekingMoreInfo,Hope you are doing fine and having a good time.Have received the following enquiry from our German principal :quoteExport Peru  301908Please offer -Basis CIF Callao 1000 Kg de Lidocaina HCL USPFabricante Aprobado: MAHENDRA CHEMICAL 1000 kg de Triclabendazol MicronizadoFabricante Aprobado: SIFLON 300 kg de Closantel SodicoFabricante Aprobado:  SIFLONKindly attach a COAunquoteAccordingly please revert with the following :- your absolute lowest offers in US Dollars for SINGLE SHIPMENTS ONLY- your corr. typical CoAs of a recent batch- your packing details- your foreseen earliest despatch schedule Will appreciate your response as requested above ASAP TODAY
859,SeekingMoreInfo,Best Tech Cities for Women Tech ring Steady Salaries May Decrease Trends in Global ring WebinarTechServe AllianceINDUSTRY UPDATENews for the IT Engineering Staffing IndustryINDUSTRY NEWSNEW BLOG: Strategies and Tips for Effective Lead Generation for Your Staffing FirmTECHSERVE ALLIANCExe2x80x94A solid SEO strategy brings people who are looking for your service to your website and converts them to potential clients. Email marketing campaigns automate your outreach resulting in inbound leads from qualified prospects when executed well. Read More
5134,OutOfOffice,Thank you for your recent e mailI am currently on annual leave returning to the office on Tuesday 28th June so there will be a delay in my responding to you.I will come back to you as soon as I can.
7455,ConnectLater,There is no requirement as of now. Thanks
4984,SupportAutoResponse,Could not deliver message to the following recipients:Failed Recipient: anilsinghfcs@gmail.comReason: Remote host said: 550 5.7.25 103.181.108.59 The IP address sending this message does not have a5.7.25 PTR record setup or the corresponding forward DNS entry does not5.7.25 point to the sending IP. As a policy Gmail does not accept messages5.7.25 from IPs with missing PTR records. Please visit5.7.25
842,MovedOut,I have moved out of Kelly on 20th August 2021. For assistance please reach out to my colleague Sourya Mukherjee SouryaMukherjee@kellyservices.co.in  91 99451-61450
8127,ConnectLater,25 Creative Summer Photography Ideas 4 Essential Tips for OutdoorPortraits Understanding Color in Photography
9846,MovedOut,Thank you for your message. I am no longer with MicroStrategy - please contact Scott Sciotto at ssciotto@microstrategy.com for assistance. 
7767,SeekingMoreInfo,Sorry about the delay. An urgent business issue popped up earlier today which needed sorting out. Could you please find attached my CV for the position as per the email thread belowKind
995,Unsubscribed,Can you remove me from your mailing list please. Thank you
4090,ReferredSomeone,Thank you for your email. This is an automatic reply to your message. Please contact Jim MacPherson jim@olaplex.com for further assistance
1555,OutOfOffice,Thank you for your note. I am currently on vacation returning August 2nd.For immediate support please contact:TA Operations - Jeff Hamiltonjeff.hamilton@mccain.caExec Recruitment - Sumayra Chowdhurysumayra.chowdhury@mccain.caTA Recruitment - Kathy Abdouchkathleen.abdouch@mccain.caIf you need to reach me urgently you can call 416-807-4248. Otherwise I will respond upon my return.ThanksLeah Merli
5707,OutOfOffice,Thank you for your e-mail.   I will be out of the office from December 22 - December 27.  I will have limited access to e-mail but will respond as soon as I am able. If you need immediate assistance please contact a member of the Facilities Team at facilities@employbridge.com. If you are inside the Employbridge organization and would like to create a help desk ticket please follow this link: 
7020,OutOfOffice,I will be out of office returning on Monday May 16th. I will get back to you once I return. 
6114,OutOfOffice, and thank you for your email. I am out of the office today.I will try to respond to your message as soon as possible. If your matter is urgent please reach out to your Project Manager or the Director of Professional Services Bridget Towt btowt@synoptek.com.Thank you and have a great day.
9119,Unsubscribed,Gary had departed this organization. Please remove or unsubscribe this email.
2456,Deactivated, thanks but no
9914,ConnectLater,Thank you for your email currently we are not hiring through vendors wewill connect with you for future requirements
4581,ReferredSomeone, SoniaLooping in Shivani from the HR for further conversation. Thanks  
8508,ConnectLater,view in browser
10069,ReferredSomeone,Please update your address book and reach out to the following awesome Elementals instead steve. mundro@elemenohealth.com
9574,ConnectLater,Thanks for reaching out. We are in good shape for our current opening however I will keep GRS in mind for the future
401,ConnectLater,Thanks for reaching out and the role below sounds very good. At this moment though that package wouldnt meet my current package and I am currently considering some other opportunitiesSteveSent from the all-new AOL app for iOS
